date,dengue_no_split,zika,varicela,chicunguya
1/1/2007,315,,250,
1/8/2007,598.5785938,,500.6496866941452,
1/15/2007,883.4116678386927,,753.9298968240619,
1/22/2007,1169.503309391439,,1009.866939149797,
1/29/2007,1456.8576050400734,,1268.4873581007123,
2/5/2007,1745.4786410927773,,1529.8179341256618,
2/12/2007,2035.3704992383718,,1793.885684967041,
2/19/2007,2326.537262365222,,2060.717867821455,
2/26/2007,2618.9830102846026,,2330.3419823125005,
3/5/2007,2912.7118186727166,,2602.785770431161,
3/12/2007,3207.727765239775,,2878.0772186741233,
3/19/2007,3504.0349198430777,,3156.244558170438,
3/26/2007,3801.6373531520367,,3437.316266171634,
4/2/2007,4100.539133,,3721.3210690915585,
4/9/2007,4400.744317114353,,4008.287943266332,
4/16/2007,4702.256970711052,,4298.246115602553,
4/23/2007,5005.081155136228,,4591.225066,
4/30/2007,5309.220914825797,,4887.254527,
5/7/2007,5614.680300928652,,5186.364489644766,
5/14/2007,5921.463365674019,,5488.585198149085,
5/21/2007,6229.574142411351,,5793.947156719863,
5/28/2007,6539.016665555537,,6102.481128811836,
6/4/2007,6849.794974647462,,6414.2181384041905,
6/11/2007,7161.913088649511,,6729.189471527934,
6/18/2007,7475.375036612153,,7047.426677845418,
6/25/2007,7790.184828,,7368.961571790278,
7/2/2007,8106.346483364701,,7693.826232925057,
7/9/2007,8423.863999471068,,8022.053008615971,
7/16/2007,8742.741376630962,,8353.674515,
7/23/2007,9062.982608512044,,8688.723638527095,
7/30/2007,9384.591681316495,,9027.233536720276,
8/6/2007,9707.572574160993,,9369.237638011575,
8/13/2007,10031.929260142148,,9714.769642986357,
8/20/2007,10357.665704347193,,10063.86352826655,
8/27/2007,10684.785864502192,,10416.553546406329,
9/3/2007,11013.293691046536,,10772.874227181077,
9/10/2007,11343.193126797676,,11132.860378235579,
9/17/2007,11674.488105379045,,11496.547082670033,
9/24/2007,12007.182553753257,,11863.969705104828,
10/1/2007,12341.280391551554,,12235.163891866803,
10/8/2007,12676.785530880094,,12610.165571689606,
10/15/2007,13013.701875165105,,12989.010956838727,
10/22/2007,13352.033310949802,,13371.736541107297,
10/29/2007,13691.783719457686,,13758.379101067781,
11/5/2007,14032.95697452128,,14148.975701287389,
11/12/2007,14375.556941315532,,14543.56369318068,
11/19/2007,14719.587480179965,,14942.18072,
11/26/2007,15065.052415817976,,15344.864697292447,
12/3/2007,15411.955588273704,,15751.653847977519,
12/10/2007,15760.300818152726,,16162.586670838296,
12/17/2007,16110.091916821897,,16577.70195990801,
12/24/2007,16461.332685530186,,16997.03880058229,
12/31/2007,16814.026904024184,,17420.63657,
1/7/2008,17168.17834407091,,17848.534936130047,
1/14/2008,17523.79077,,18280.773853182793,
1/21/2008,17880.86793129891,,18717.393573865294,
