date,Chile,Colombia,Italy,Mexico,US
2020-03-23,22330.041004597675,33549.51929415694,56993.65097475684,36505.618927937714,446491.5356905262
2020-03-30,18450.814758126973,31581.499560223296,55825.500026210655,28926.017835015708,446557.42366762157
2020-04-06,16989.36105725431,32338.497818800344,54149.97604730178,27877.823761938493,445735.53340123734
2020-04-13,15649.067263470435,28097.474054421225,50290.459853614855,25223.882693246116,444614.56576964364
2020-04-20,15767.674983838257,27897.315572673608,51142.03840378629,25069.618441641607,445530.4907485696
2020-04-27,18557.031337639557,27410.275608701588,49478.41086018089,25710.951699669055,443311.50542083126
2020-05-04,20778.942811671135,29633.202544501277,49529.35841449796,26146.848738135828,443768.55992445105
2020-05-11,25000.228128559895,29045.24240429433,50821.44015817115,27054.38356465646,444538.3726262558
2020-05-18,27400.463634883345,29520.90860506452,49916.62211392465,27854.249555511582,444924.5134250297
2020-05-25,28486.183007655767,30333.294840304377,48907.511550200456,29246.396242961564,446750.79790301376
2020-06-01,28291.397807196176,31366.27885178242,48953.39008362341,33886.21800912102,445629.03799554385
2020-06-08,26467.57669121016,30456.40525491693,50709.040644112996,32756.540401309427,445471.95673653105
2020-06-15,23510.791924536872,35081.541169963035,49403.06909077086,34401.1518582518,446621.3286197139
2020-06-22,21403.338430178934,36189.980348709636,48870.124044742144,38714.25190198989,449838.9560200416
2020-06-29,18511.47012483292,39099.29311693839,50545.33465117698,39869.51508113397,450323.45271358464
2020-07-06,17599.418503098303,42774.31438503232,47056.95534039804,42318.930061750856,452194.9999436116
2020-07-13,15991.604116823306,43322.57273560777,48242.45842790983,40067.396539783236,451318.8936872612
2020-07-20,14196.18784312528,46038.74149646269,48322.902168765955,37951.62357390425,453262.6777791844
2020-07-27,13995.611135370924,48072.55314861174,48248.48894244211,41232.20001994828,453688.675199634
2020-08-03,12192.183661235465,47668.61690700798,51790.59865793513,38881.72194123056,453346.0175592124
2020-08-10,11810.416288658134,50645.22090625284,50409.17295640167,38526.19204014888,454846.20277882344
2020-08-17,13330.95732927357,48869.32741122149,52018.072644651285,35779.31315008586,454236.88265473855
2020-08-24,11390.322731865686,46775.19674507682,52968.63757787521,37196.17887241522,453487.00392543495
2020-08-31,13423.606388378064,43682.03558276385,56915.62743346748,35922.23678316655,455295.5150841697
2020-09-07,13755.300994660503,40717.43744973866,56028.91473146615,34632.35636038234,458282.02655933314
2020-09-14,12849.201734907992,39453.526467885975,57152.448078074216,34378.03526792422,457601.7925341803
2020-09-21,12137.3636099583,40597.303495931796,58174.43333169698,35058.77785295223,458258.81611735036
2020-09-28,12144.23513415299,38984.05680601217,62423.277885197924,32990.90545879584,461370.48908227397
2020-10-05,11468.034409714737,41083.78319080149,66708.99999114407,36474.191531519056,460124.89649975393
2020-10-12,11693.513751071445,42199.771838697125,71171.50651224492,39065.64226414339,462328.0981685957
2020-10-19,10821.564431778119,42216.857463246975,77731.16855564756,38232.20005753569,464363.45112600597
2020-10-26,11085.555311895374,44587.00121605051,77849.9154580126,37691.45263670551,469421.7484531773
2020-11-02,11195.332367080786,45703.01337161537,81003.73291446219,37399.85293357191,471473.8752662637
2020-11-09,12830.971925480027,42422.16509172981,82683.45039509828,38798.25357832953,473616.8376837512
2020-11-16,12488.11619603027,43426.76579837203,76469.60994197063,36976.36560406508,477425.54831420584
2020-11-23,13006.353354425039,44030.12425776003,80476.01578487633,43692.06540358523,477852.302091137
2020-11-30,12258.476709100622,47289.637671438795,72681.12728294652,45290.49193399132,484299.86576994375
2020-12-07,12916.970596922616,46152.82794545174,71524.35053070633,48225.746982648554,487784.8408559783
2020-12-14,13339.075803876787,51016.70914863791,77507.58043730695,48797.5315885721,486857.84958824655
2020-12-21,16555.650721932332,57093.5739866411,70953.79652925201,47950.136290477574,480515.4049390034
2020-12-28,16726.091264842195,57023.42850077289,70492.53963965985,46629.09526273918,481040.32485504716
2021-01-04,26137.40975864658,57462.21348130824,74661.3338359172,50237.315754756135,480179.7082039177
2021-01-11,26292.92081824474,61904.164750643795,79681.68694987243,55952.36671122706,484210.4957794888
2021-01-18,25217.34227462608,58089.49575005505,77841.75535335318,59257.45857048822,471847.20589101355
2021-01-25,26774.37628097275,50001.52605814489,79776.81629245094,54927.304293674206,466650.90570482303
2021-02-01,24536.31583439616,42981.51855196077,76590.79601519715,46272.996921585785,466667.4446183126
2021-02-08,25355.911665075717,36764.88173049615,72833.60292047949,43337.30573384717,464586.5477404119
2021-02-15,25164.949995054467,31997.52960796965,80028.40280544838,40495.36188228615,459715.02011440456
2021-02-22,24740.3838233508,29516.82672274267,82051.34651520613,38976.748908319416,460526.60782206955
2021-03-01,26132.67860392519,26487.99998185357,80924.85617257381,36148.65820674352,457004.06523041
2021-03-08,28208.63972731396,28220.070777173594,76323.76608744745,35930.994475218366,453774.935243937
2021-03-15,29681.23684757824,30563.196541991405,74500.85760358497,32431.404257552735,454906.4773337613
2021-03-22,29129.69624641628,35098.21567569268,75518.62123418556,33199.96454097652,455031.681287371
2021-03-29,30165.134816140166,43152.81268866912,72321.28037263408,29785.68832544548,453531.6382452424
2021-04-05,31468.146261842856,49246.56541324926,68301.47110964487,29893.00850542174,454518.478039143
2021-04-12,28169.27341753969,57700.12694339335,67969.46623248968,29855.384698887923,455042.24790737574
2021-04-19,28236.789672476552,59823.654468213805,67404.52165154646,27995.27727420986,452801.83795876784
2021-04-26,26179.31896105646,58676.62900496363,66447.99994414476,28156.307223453266,454207.31578458706
2021-05-03,26207.813177071897,57749.68654979713,64538.385664995825,25742.318157967315,453233.41334439546
2021-05-10,26528.68467350387,60690.27303911504,62097.3318896765,27693.471994330816,452345.15538244764
2021-05-17,28659.932260047466,59791.6288883845,60926.75978531181,23817.76052889627,449771.91652184445
2021-05-24,30514.721173349677,66617.03275859499,58995.64098601748,25428.908037684945,451323.3234994277
2021-05-31,31404.048693905454,78964.24062775,59673.202706951466,28091.21774731093,451579.2096025679
2021-06-07,29818.28335064524,81032.0331709804,59194.65127039807,28165.093132356094,452614.77882006706
2021-06-14,28605.16226948518,82484.30693803825,56799.025461719546,31483.0184005326,450248.4754600275
2021-06-21,25539.33130590405,86293.99176521006,58244.22196694455,33629.431623529585,453567.26340093015
2021-06-28,23801.953572214436,84988.91424103506,56710.90747446707,37749.34125860776,454238.50004351063
2021-07-05,20581.958378129744,76258.30954796326,58381.21951278308,40899.82123826477,454767.61377777497
2021-07-12,21086.315824620255,64383.557689802416,62559.739444003004,45202.94756071486,456593.6257947205
2021-07-19,18573.968913672015,53782.07240143744,59691.13087485722,49695.66654627728,456746.95375326305
2021-07-26,18513.045725136373,44680.19573451417,62471.67326895405,53241.85842005471,458577.56292707176
2021-08-02,18333.022920970816,37508.79097643996,62136.47196720561,58140.29765390758,461867.74062871264
2021-08-09,17986.60084429483,29675.103611137623,59994.23898384735,57498.01456737925,466209.4332132301
2021-08-16,15474.922393215484,23731.12840875874,59279.32680562641,59095.654646602576,468326.48047911795
2021-08-23,16509.389149630588,21516.626471422296,60889.30636489384,55487.03835186476,469440.06630374736
2021-08-30,14658.963631555138,20986.528291141607,62424.04122241543,51654.6836048741,470731.0313835031
2021-09-06,13716.56293505586,23455.001346250385,63356.00191752215,45166.312490815966,470023.1963658902
2021-09-13,14724.776201446317,22637.96232758503,65906.20421897611,43952.733527048455,470671.11054302834
2021-09-20,12490.151874640507,19684.31000863592,66615.22921993797,38135.42766604375,470412.61410819157
2021-09-27,12303.742301957864,23255.737871669575,67692.52819637199,38750.119067905616,471930.8988740667
2021-10-04,10567.386775015568,20191.71983710184,65335.33550176082,35605.9532749934,469891.57936193154
2021-10-11,12696.27172605413,18546.406354251405,70576.75230337284,34899.17771180902,470665.21051148395
2021-10-18,13219.950048953711,20187.889894970274,73677.17889849986,36445.65316379157,470070.334027182
2021-10-25,15016.165155778439,18451.94009655563,74417.16444237839,34129.990547806316,469450.8204209012
2021-11-01,15754.969127738763,21626.586676902334,72217.003392177,32325.37915556645,477340.3405255178
2021-11-08,16173.788235529906,19921.20663027405,75784.11589517664,30985.56468592338,476897.94126144075
2021-11-15,14630.688377671166,20692.093245104654,74577.68825367492,32286.82959462449,477380.51347988856
2021-11-22,14717.859821444352,22154.074506632016,75885.7463127902,33459.32693498126,477453.09889594023
2021-11-29,13513.585514083446,22526.156947841882,81074.45967387324,34316.73007067324,483888.12152771733
2021-12-06,11910.054289278176,20891.846194871545,83805.77617500523,33357.48570487111,481158.69453158265
2021-12-13,12575.230814175009,21913.289885101913,95654.42222129532,35164.684583726616,482951.1896751223
2021-12-20,13219.488465149354,29846.712864823778,104439.2119289501,38250.58472885197,486766.1619821244
2021-12-27,16892.453819387923,41406.298831135806,114588.08425083601,44182.12257715458,500149.03314292355
2022-01-03,28018.420768158998,58797.294314987455,135648.71919860167,63344.73831520813,516985.38538491155
2022-01-10,36582.12842406374,77306.10341152287,145990.02934774134,82849.72747994302,529707.2732605871
2022-01-17,44506.69958025996,77623.2325000024,145480.3769732283,96571.9866062809,525318.3446595921
2022-01-24,63276.49341837351,61625.1346974256,135892.316262557,94392.95430914898,510638.8283288943
2022-01-31,78125.93483940509,46508.48566906391,120622.49694380302,83241.44770006202,491238.29537882406
2022-02-07,81239.04803981984,33719.45064309574,106285.82321717984,65353.976947271316,477830.30078170524
2022-02-14,77667.39211148937,23574.341159537722,95701.23460451921,56947.39232923303,469293.2595297199
2022-02-21,67764.39451246799,18343.833534155845,91119.22964891292,50534.013595821554,464173.2741740834
2022-02-28,58364.94804280749,15664.294294439915,88731.8708865529,42178.63778960205,461225.4051497271
2022-03-07,49426.580602240254,14500.677659320885,93653.87234416083,35878.18589714631,459733.3190817543
2022-03-14,42015.23431820039,14852.024089174683,100604.26018927345,32048.02009662046,458315.9119094312
2022-03-21,34837.2877024739,13823.75709617807,102433.32989383533,29591.793643501558,457324.2327400669
2022-03-28,29173.38036725313,13377.065136686364,101056.61285280155,28054.41174055831,456377.55899380316
2022-04-04,25175.244047241806,12979.753143112444,96913.89272883999,31545.6679267677,457004.8228990684
2022-04-11,22680.779395143887,14094.495582879925,96604.83318959498,27773.00700166944,455986.0588565083
2022-04-18,23286.740454300503,13671.138497445598,90031.5512260157,23266.86787514772,456653.71592448495
2022-04-25,23060.04235822372,12651.3255486788,88347.01628616719,23654.32690476399,456813.8603805647
2022-05-02,23594.82103760762,13547.450840075107,87418.96915097132,23468.551764562635,460337.6355055917
2022-05-09,27000.117870133457,15071.386924535516,81819.97857917451,23534.748790096513,460770.1530825606
2022-05-16,30178.383757968084,16626.47468756216,76702.57908527208,22489.936565150587,462755.70469591004
2022-05-23,31420.447905158613,15022.896377426285,75511.62867941716,24434.589800911417,464042.5219069737
2022-05-30,34529.47248236621,15061.953009849352,73493.34197440471,28138.58623415511,464247.08146755054
2022-06-06,36366.92046770731,15526.691283369248,72143.42233217527,30559.056919117626,465298.7833791592
2022-06-13,37822.029713337964,18398.39910151287,75285.50755650621,36227.53214424294,463663.66222449637
2022-06-20,36093.875612393305,18800.00234597774,84705.66340253907,44628.85436918094,462966.3692871151
2022-06-27,33255.22629904576,22183.068650982008,92124.4565907068,52183.44431847149,463527.43463582976
2022-07-04,31820.971739756307,22255.961782383634,98327.1796664257,64136.90388886274,466311.8441061292
2022-07-11,31396.596219013958,21018.095309395037,101839.21670597956,69169.71610541106,466502.9719420886
